NU_INSCRICAO,CO_ESCOLA,NU_NOTA_CH,NU_ACERTOS_CH,NU_NOTA_CN,NU_ACERTOS_CN,NU_NOTA_LC,NU_ACERTOS_LC,NU_NOTA_MT,NU_ACERTOS_MT
160000272507,35134806,669.2,32,678.5,29,662.9,31,760.1,28
160000355923,35134806,644.4,27,590.5,20,586.1,22,566.9,9
160000557149,35134806,649.4,24,590.4,17,678.7,31,720.9,23
160000686284,35563006,612.3,24,573.2,16,662.5,30,592.9,16
160001106486,35563006,719.3,34,747.7,37,667.2,34,628.8,17
160008522960,35286187,686.9,32,589.7,18,599.4,20,739.4,24
160001155955,35134806,642.6,26,656.8,28,589.6,19,804.1,30
160001188588,35286187,669.9,30,660,25,663.1,32,924.7,41
160001267581,35563006,723.5,36,675.5,28,643.9,26,804.3,31
160001215512,35286187,697,35,678,28,641.8,27,794.2,30
160001268801,35563006,661.4,29,614.5,21,662.6,33,702.6,21
160001688190,35134806,665.6,30,620.1,20,606.2,25,831.7,35
160001656402,35134806,639.6,26,725.9,33,648.9,29,519,15
160001649708,35134806,675.2,31,685.8,30,623.9,26,593.8,15
160002071218,35134806,669.3,26,581.8,15,624.1,27,877.3,37
160001178745,35134806,640.9,28,586.1,15,675.8,30,765.6,29
160001952896,35134806,608.5,22,749,37,683.5,34,552.2,14
160001978454,35563006,719.2,36,657.3,26,531.8,15,586.5,14
160002050593,35134806,678.9,30,620.1,20,565.4,17,635.3,15
160001849163,35134806,628,24,568.3,14,581.6,21,785.6,30
160001853109,35134806,621,26,544.4,15,643.9,27,671.9,20
160000038421,35134806,608.5,25,661.6,29,623.2,24,659.2,20
160000013995,35563006,656.5,28,643,25,594.9,20,815.3,32
160000671262,35134806,602.8,24,583.6,17,673.3,31,864.7,36
160000642629,35134806,658.4,28,702.3,32,635.8,27,864.2,37
160000652299,35134806,671.9,32,703.4,34,615.8,24,558.1,12
160008622738,35286187,671.6,32,699.7,33,665,31,827.3,32
160001794357,35134806,673,30,653.3,27,658.1,33,731.9,23
160001787430,35563006,687.2,30,679.1,29,634.5,26,646.8,19
160001770123,35134806,656.9,28,735.2,36,666.2,33,867.3,36
160001766654,35134806,651.6,29,698.4,31,622.5,27,860.7,35
160001817189,35134806,691.7,32,597.2,16,609.8,25,676.4,20
160001764024,35563006,633.7,26,679.6,28,728,36,812.1,31
160001810717,35563006,605.7,24,787.1,40,603.6,22,800.5,31
160002128334,35134806,708.7,36,651.3,26,644.1,28,866.5,36
160002136184,35286187,632.2,25,735.3,35,623.9,26,855.1,37
160002104769,35286187,707.9,33,662.9,26,633.9,28,817.7,32
160008571632,35134806,737.3,36,608.1,22,648.9,28,867.5,38
160002108415,35134806,655,28,740.9,36,674.4,30,821.4,34
160002104937,35134806,665.2,29,705.8,33,681.4,33,893.1,37
160008623268,35286187,631.8,28,724.5,34,622.8,24,913.1,40
160002144643,35134806,692.6,33,697.8,32,689.6,35,796.4,31
160002151799,35563006,703.8,34,773.9,40,656.3,31,816.5,32
160000523421,35134806,740.1,36,686.8,31,662.3,28,863.3,36
160000530250,35134806,678.5,31,772.7,39,697.7,36,942.8,41
160000413937,35134806,663.4,31,760.3,39,619.2,25,803.4,31
160000430353,35134806,723.4,36,736.9,35,685.7,33,695,23
160000446658,35563006,634.6,29,741.6,36,714.9,36,833,33
160000447294,35134806,698.1,35,791.2,40,598.4,24,621.1,17
160000407040,35134806,663.3,29,657.1,29,583.6,21,885.2,37
160000409908,35134806,754.7,40,722.4,35,665.9,29,829.6,33
160000426369,35134806,682.8,31,573.6,19,697.3,36,665.5,19
160000416841,35134806,662.2,33,672.6,27,679.4,33,752.5,27
160000423253,35286187,630.8,26,562.2,13,606.7,24,926.8,40
160000410787,35286187,684.1,30,779.5,41,689.2,33,859.4,36
160000616607,35563006,678.6,31,753.5,38,630.7,27,589.8,14
160001237920,35134806,734.2,37,603.8,18,688.9,34,867.2,36
160001245370,35563006,710.6,33,652.4,27,539.1,17,870.9,37
160001245411,35134806,656.6,27,770.6,39,596.9,23,770.8,28
160002148874,35134806,640.2,26,695.7,29,686.4,32,835.5,33
160002142115,35134806,693.2,35,562.6,15,657.7,29,791.8,30
160002160059,35134806,684.6,35,653.5,28,672.1,32,713.1,24
160002109900,35134806,597,21,817.8,43,653,30,860.9,36
160002138566,35563006,618.7,24,679.7,29,638,28,764.8,26
160002341619,35134806,769.6,42,651.8,26,662.2,32,860.6,34
160002334661,35286187,637.6,25,703.5,34,684.5,34,874.1,37
160002338955,35134806,731.8,37,712.2,34,700.4,35,537.9,17
160002342716,35286187,640.2,26,690,32,638.6,27,701.9,25
160008543257,35286187,634.6,26,710.7,34,673.9,32,844.7,35
160002339793,35286187,694.5,34,662.9,28,618.6,26,550.4,13
160001911801,35134806,665.8,28,765.3,39,566.6,16,846.1,36
160001879676,35134806,687.2,33,597.1,19,647.9,29,839.1,35
160001887214,35134806,657.7,28,614.7,20,647.1,28,596.5,16
160002211849,35134806,698.2,33,683.7,29,617.4,23,692.5,23
160002209015,35286187,660.2,27,671.4,27,646.9,25,741.4,26
160000643471,35563006,645.9,26,591,17,634.6,26,789.4,30
160000646452,35134806,659.9,30,683.5,29,580.4,19,695.4,21
160000640270,35134806,662.1,31,652.1,24,614.1,25,585.4,14
160002490168,35134806,630.2,26,679.4,29,673.4,30,788.1,30
160002410083,35134806,650.7,26,712.1,33,678.2,31,687.8,19
160002509700,35286187,627.9,28,708.6,33,613.2,21,841.5,35
160002495486,35563006,588.6,22,643.8,24,603.3,21,802.5,31
160000354722,35134806,661.3,30,731.9,36,704.9,38,772.5,28
160000319911,35286187,702.8,35,696.7,32,684.2,32,773.1,29
160000211108,35134806,657.6,28,690.6,30,663.9,31,713.8,23
160000224010,35134806,645.9,27,619.6,23,656.7,31,784.7,29
160000201214,35134806,599.9,23,693.3,31,645.2,29,595.4,14
160000175296,35563006,724.8,37,751,36,657.4,29,873.2,36
160000330684,35134806,696.7,33,645.5,24,661,29,799.1,30
160000498813,35134806,703.8,34,625.1,23,627,24,816.1,31
160000299736,35134806,676,31,559.3,15,620.3,24,709.1,23
160000467140,35134806,667.1,30,773.2,39,683.1,34,855.3,35
160000098668,35134806,672.9,34,675.7,26,710,36,879.2,35
160000484924,35286187,658.6,27,700.1,34,637.9,30,814.3,33
160000474569,35134806,621.5,24,586,19,625.5,25,667.8,18
160000103772,35134806,630.5,28,668.5,28,686.7,32,682.6,21
160000661146,35134806,752.2,38,810.5,43,628.2,25,609.2,15
160000488865,35134806,599.2,24,725.5,34,625.6,29,899.8,38
160000496119,35286187,748.8,37,521.7,11,522.9,14,865.3,37
160000004643,35286187,636.9,26,681.2,30,641.1,26,947.3,41
160000474914,35134806,680.9,30,630.1,23,618,22,777,29
160000090169,35286187,756,38,644,25,648.2,25,912.2,39
160000478685,35134806,706.7,35,791.8,41,699.5,33,810.9,32
160000248740,35134806,630.4,27,784.8,40,669.4,32,760.8,29
160000268757,35134806,599.3,26,763.1,38,681.9,31,727.6,26
160000261819,35134806,700.9,34,658.9,24,600.7,22,793.6,31
160000261934,35134806,644.4,28,743.8,36,634.8,28,885.6,39
160000277390,35563006,645.9,28,605.5,18,648.9,30,704.5,21
160000589373,35134806,682,32,575.2,17,674.4,33,613.9,15
160000341290,35286187,737.9,36,704.6,33,638.9,26,795,28
160000581903,35134806,680.7,34,759.7,40,604.3,22,825.8,33
160000339668,35563006,741.3,38,686.6,29,602.1,22,873,37
160000288687,35134806,692.6,30,667.9,28,541.9,18,697.3,23
160000543890,35134806,645.5,26,623,23,630.3,27,801,31
160000634290,35134806,710.1,33,593.3,17,643.9,30,845.7,35
160000592108,35286187,758.5,41,647.6,23,687.6,36,752.9,26
160000598341,35134806,703.3,34,675.2,31,666.2,30,815.4,31
160000598343,35134806,649.8,27,688.4,31,642.1,28,779.5,28
160000008303,35134806,650.5,25,755.1,39,620.5,27,697.9,22
160000085097,35134806,577.8,17,643.8,24,660.8,29,832.6,34
160000583988,35134806,660.2,31,610,18,652,27,849.8,36
160000021977,35134806,700.8,31,737.4,36,622,26,842.4,35
160000639194,35563006,658.8,28,651.4,24,664.7,30,854.7,36
160000658880,35563006,726.6,36,662.5,26,628.4,25,753,26
160002279910,35286187,631.5,24,589.3,15,675.8,32,878.8,38
160002235993,35563006,612.8,23,775.5,39,466.5,12,954.9,42
160000291615,35134806,795.8,41,742.7,36,629.4,26,769.2,29
160002270303,35134806,689.6,31,748,37,665.9,30,691.5,20
160000299498,35286187,639.2,27,704.9,32,676.7,32,790.8,28
160002239626,35286187,691.3,31,640.3,21,699.5,36,678.9,20
160000087510,35563006,602.2,20,871.3,45,758.6,38,779.1,30
160002727384,35134806,717.5,34,757.9,39,675.6,31,737.2,24
160000365411,35286187,598.9,25,772,39,732.5,38,780.2,28
160002783484,35134806,677.3,31,642.2,23,637.5,28,797.8,31
160000082189,35134806,690.1,32,746.7,36,657,31,710.1,24
160000048543,35286187,699.6,34,604.3,19,628.2,28,820.8,34
160002408767,35286187,776.1,40,683.4,30,649.8,30,862.6,38
160000646899,35563006,727.4,36,600.3,20,637.3,27,937.1,40
160002815653,35134806,727.3,37,656.5,27,608.8,23,798.6,30
160002822680,35134806,630.5,26,668.4,28,626.7,27,792.1,29
160002798729,35134806,708.3,32,656.1,27,627.8,25,757.8,28
160002802357,35134806,586.8,20,751,38,574.8,21,623.8,16
160000662851,35134806,705.5,36,686.6,28,653.4,28,798.7,30
160002830858,35286187,666.5,27,701.2,31,636.7,26,842.9,34
160000102530,35134806,635.8,26,683.5,31,643.9,27,760.6,27
160000253480,35134806,646.5,27,720.2,35,643.7,28,746.9,28
160000340076,35563006,656.7,29,726.7,34,681.7,33,843,34
160000512416,35134806,641.7,26,678.1,27,588.8,20,626.4,16
160000772442,35134806,671.7,30,532.9,15,505.9,13,725.6,24
160000610192,35563006,668.9,29,661.1,25,668.1,31,725.5,23
160002725900,35134806,647.4,31,729.7,35,624.2,25,873.5,35
160002736851,35134806,667.3,30,687.5,31,648.9,29,686.4,21
160000706413,35134806,697.1,33,677.8,28,608.9,23,689.3,21
160002566518,35134806,673.9,30,549.9,13,590.9,20,588,13
160000958744,35134806,625.5,26,696.1,31,678,33,885,37
160002883523,35134806,667.6,31,607.2,22,650.5,28,926.6,41
160000998318,35286187,705.6,33,692.5,31,634.7,26,852.8,36
160000672535,35286187,689.7,34,613.9,20,638,27,847.6,35
160003087536,35286187,686.4,32,756.6,38,646.7,28,915.4,39
160000991022,35134806,605.9,22,589.6,17,614.8,24,756,26
160000896704,35286187,723.4,37,586.1,17,581.9,20,804,32
160000843279,35134806,639.5,26,666,27,642.4,28,856.3,36
160000718869,35286187,665.6,27,790,41,654.8,29,849,36
160000832719,35286187,654.1,29,752.8,37,672.4,31,687.6,20
160000904215,35134806,658.1,31,721.6,35,718.3,36,907.5,39
160000790371,35134806,589.9,19,671.9,27,652,30,674.4,20
160000807642,35286187,565.6,18,772,40,645.8,30,803.5,31
160000961199,35286187,689.9,30,683.6,30,686.4,32,773.3,29
160000792366,35286187,751.1,40,700.4,32,540.4,15,735.2,25
160001049755,35134806,673.7,30,570,15,612.3,21,827.5,34
160000716319,35286187,719.3,34,619.9,20,617.5,25,863.1,35
160000869304,35286187,664.6,28,652.4,24,626.5,26,816.7,33
160000903454,35286187,711.1,34,646.4,24,631.8,28,595.2,19
160000880202,35286187,660.8,31,806.5,41,680.1,34,773.7,28
160000986955,35286187,675.3,32,610.3,21,601.4,21,721.9,22
160000762576,35286187,509,11,672.4,29,647,29,758.2,27
160000715969,35134806,627.3,25,643.4,23,601.7,23,748.1,25
160001012576,35286187,670.1,29,627.5,21,661.8,30,684.1,20
160000673568,35286187,660.1,28,662,25,677.8,36,632.3,19
160001144382,35563006,663.9,30,679,29,675.4,30,771.6,29
160001031737,35134806,758.3,40,664.8,26,641,29,765.6,28
160001072190,35134806,660.8,27,730.8,34,645,30,838,35
160000705319,35134806,716.9,37,616.9,21,646.6,28,817.3,33
160000968310,35134806,598.5,23,665,27,646.6,29,791.3,31
160000792629,35286187,674.7,32,637.7,24,642.5,28,668.3,17
160000805918,35134806,661.3,29,640.6,27,665.3,30,813.4,33
160000732052,35134806,657,29,652.8,27,635,26,824.7,32
160000673210,35134806,668.4,31,638.9,24,619,25,547.4,13
160000778593,35134806,679.3,31,702.7,32,656,29,709.3,23
160001104968,35134806,688.2,32,738.2,36,605.2,22,825.2,34
160001146330,35563006,654.8,27,653.6,25,671.3,30,738.2,24
160000797421,35286187,684,31,702.4,32,661,31,804.4,30
160001046941,35134806,652.2,29,763,39,663,30,623.6,16
160000810161,35134806,614.9,23,635,23,638.6,28,724.8,24
160000789130,35563006,675.2,30,656.5,26,662.7,30,776.6,28
160000835923,35134806,683.2,32,522.7,12,609.3,26,819.9,32
160000982727,35134806,686.2,30,666.5,26,549.6,17,757.3,25
160001122690,35134806,757.3,37,654.7,26,641.6,26,914.3,39
160000989878,35134806,711.2,34,427,13,684.2,32,874.7,37
160001108758,35134806,728.7,35,626.4,21,583.7,22,560.2,13
160000993522,35134806,689.2,34,707.2,31,621.3,25,620.2,17
160001036342,35134806,677.2,32,544.4,15,656.8,30,750.4,27
160001027818,35134806,557.1,17,611.1,18,583.9,20,809.2,34
160001205489,35134806,669.9,29,703,33,679.7,33,944.2,40
160000703291,35134806,686.8,33,660.5,25,644.7,30,844.2,34
160001071640,35134806,614.6,23,619.6,22,628.9,26,754.7,25
160001146639,35134806,682.8,33,685.9,29,588.9,22,856.1,36
160001539374,35134806,633.9,26,640.6,21,656.7,28,624.6,17
160001291352,35286187,636.1,27,722.3,34,593.4,20,845.2,36
160001403793,35286187,661.6,30,688.4,29,661.2,29,754.6,27
160001747673,35134806,657,29,742.2,36,661.9,32,539.2,16
160001770421,35286187,598.6,20,691.3,28,673.3,31,736.9,28
160001353648,35134806,707.9,33,473.4,11,657,28,804.8,32
160001644369,35134806,654.9,26,525.3,12,596.7,22,797.9,32
160002736939,35134806,763,39,712.4,33,634.5,25,705,23
160001324967,35563006,653.5,29,771.1,39,641.8,26,786.4,29
160001331984,35134806,746,38,831.3,43,622.1,25,945.9,41
160001621119,35134806,666,30,725.4,34,744.6,38,813.7,32
160001601412,35134806,644.7,29,596.8,16,634.6,24,615.3,16
160001829676,35286187,656,32,598,18,644.1,27,762.6,27
160001639041,35134806,708.9,35,616.5,21,646.6,28,717,26
160001697532,35134806,612.4,24,670.1,28,609.9,21,752.7,26
160001828826,35286187,722.5,36,619,21,652.3,29,773.1,28
160001689061,35134806,693.3,32,765.8,37,677.2,32,888.7,38
160001639115,35286187,657.3,31,614.6,21,644.8,27,845.2,35
160001662460,35563006,667,29,647,24,624.4,25,793.6,32
160001761582,35134806,637.8,24,611.5,18,642.5,27,640.4,17
160001944167,35286187,707.6,32,702.7,30,634.7,28,714.2,23
160001916912,35134806,653.1,29,634.6,23,630.2,26,772.7,30
160001709867,35134806,753.7,39,762.5,39,634.1,27,779.5,29
160001694185,35286187,614.7,25,791.4,41,598.9,23,693.6,23
160001670584,35286187,659.4,27,654.5,26,639.4,28,757.7,27
160001612256,35134806,632.6,27,587,18,640.4,26,813.7,33
160001745175,35134806,664.7,28,645.9,25,617.8,25,763.8,28
160001556081,35134806,658,28,640.7,23,726.3,38,771.4,28
160001885827,35134806,671.8,32,661.3,27,750.1,37,639.1,18
160001968079,35134806,711.1,35,696.4,29,645.5,28,881.4,36
160001943531,35134806,612.7,21,682.2,29,658.4,29,848.7,36
160001972884,35563006,615.2,23,792,41,644,28,685.6,20
160001666652,35134806,648.5,26,714.9,32,638.2,26,865.8,36
160001876483,35134806,683.1,33,729,35,637.2,26,644.1,16
160001890897,35134806,623.2,25,595.9,20,600.3,22,563.6,13
160001732492,35286187,670.3,29,655.4,25,692.8,34,536.6,13
160001859922,35134806,735.4,36,678.5,30,603.2,22,585.4,15
160001562874,35286187,707.5,34,683,30,644,28,701.6,22
160001867131,35134806,717.1,37,696.7,32,614.5,24,662.6,20
160002001152,35134806,680.7,29,717.8,34,666.9,32,650.9,17
160001563582,35134806,626,25,731.9,35,648.8,31,711,21
160002007617,35134806,644.6,27,679.7,30,698.1,36,811,34
160002052978,35286187,657.5,28,625,22,696.1,34,642.1,18
160002079624,35134806,686.2,34,642.5,27,648.9,30,657.3,21
160001758578,35286187,650.7,28,657.8,27,600.2,22,692.9,20
160001972693,35134806,696.7,32,689.4,29,632.4,27,785.8,28
160001730129,35286187,639.4,25,630.5,22,603,24,835.1,33
160001733798,35286187,686.2,33,559.3,14,610.9,24,707.1,24
160002107972,35286187,700.5,33,586.1,17,573.8,20,834.5,32
160001969356,35134806,694.4,33,553.7,14,639.7,27,690.7,25
160001754328,35286187,687.4,34,582.5,16,621.7,26,632.6,17
160002128069,35134806,667.2,28,616.8,22,639.6,28,885.1,37
160001857373,35134806,666.2,30,570.6,16,586.9,19,549.5,11
160002046826,35134806,635.4,23,505,16,631.8,25,765.3,26
160001991549,35134806,620,24,648,25,656.3,29,781.5,30
160002121456,35134806,591.7,22,677.8,28,603.2,22,849.2,35
160002137196,35563006,580.3,21,567.6,15,640.3,27,900.8,38
160002140809,35134806,672,32,543.6,16,710,36,824.2,34
160001752199,35134806,564.4,15,609.6,21,625.2,25,869.6,35
160001741538,35134806,618.1,24,712.7,33,665.1,31,861.8,35
160002224358,35286187,671.2,30,728.4,34,611.8,24,576.5,14
160001748334,35134806,680.7,30,627.3,22,708,38,904.9,40
160002141066,35134806,661.1,27,703.9,30,648.6,29,792,30
160002002012,35286187,606.8,23,663.5,29,629.8,27,811.2,34
160001850632,35134806,652,28,620.1,20,608.7,24,724.9,25
160001914533,35134806,762.3,38,637.2,23,660.6,29,685.9,20
160002191649,35286187,710.1,35,603.7,19,527.5,14,825.1,36
160003081491,35563006,656.1,30,735.1,36,607.9,25,691.3,21
160003239247,35134806,671.9,34,587.2,20,657.8,30,630.5,16
160003314354,35134806,650.4,29,669.2,27,618.2,24,673.7,19
160003012317,35134806,653.6,29,698.2,31,699.7,35,742.6,27
160003019623,35134806,606.3,22,767.8,40,634.5,26,587.4,14
160003253072,35134806,616.8,26,625.1,21,618,24,851.7,33
160002655992,35134806,689.7,31,669.1,28,667.7,29,720.4,25
160003057734,35134806,627.2,27,674.8,27,576.3,19,984.3,44
160003326076,35563006,578.4,18,550.1,14,671.9,31,822.5,32
160002629866,35134806,684.8,30,776.2,38,566.3,19,587.4,12
160003225680,35286187,664.5,30,626.3,24,645.2,26,685.9,21
160002922124,35286187,748.3,38,650.7,27,695.2,35,700.1,22
160002919185,35134806,640.5,26,748.7,38,630.1,28,720.9,24
160003188182,35134806,614.3,26,443.9,12,649.7,29,813.1,31
160003326162,35134806,673.7,31,592.2,19,650.5,27,752.4,25
160003220692,35286187,631.9,28,731.9,36,619.2,24,830.5,34
160003040917,35563006,686.9,34,620.8,21,668.5,31,895.5,38
160003232599,35563006,604.7,23,600.7,20,630,25,848.3,35
160003380357,35134806,649.1,28,540.8,17,660.4,32,776.3,29
160003368126,35286187,709.2,33,715.8,33,548.3,16,734.6,26
160003168663,35134806,679.9,32,582,16,671.7,30,675.3,21
160003020916,35134806,635.3,31,683,29,645.8,27,684.4,21
160003374860,35286187,746.1,38,680,28,635.2,25,633,20
160003174003,35286187,680.4,33,813.4,43,652.9,32,745.5,25
160003134783,35134806,657.2,29,732.2,36,558.9,17,831,33
160002653822,35134806,669.7,29,513.7,14,628.6,26,706.9,20
160002982048,35286187,691.7,32,652.3,26,604.9,23,737.5,25
160003241930,35134806,591.8,19,590.3,17,635.5,24,592,15
160003402722,35563006,680.1,32,614.9,21,600,22,804,31
160003165628,35134806,683.5,32,601,19,620.7,27,751.8,25
160003413766,35563006,724.7,34,627,20,657.4,29,791.1,29
160002986067,35286187,783.8,39,774.7,39,693.8,33,814.4,32
160003427829,35134806,536.8,16,731.9,35,654.2,29,804.4,31
160003250003,35286187,657.1,27,661.4,27,658.3,29,749.3,25
160002633179,35134806,605.9,20,699.2,32,628.5,29,920.4,39
160003283207,35286187,644.4,27,639,23,706.7,35,725,22
160003195579,35563006,604,19,737.3,37,641.1,26,826.5,34
160003160974,35134806,663.6,28,607.4,21,612.6,24,728.2,23
160002958598,35563006,684.2,32,611.2,21,622.9,24,734.9,24
160003153570,35134806,694.8,34,657.4,24,668,30,642.1,17
160003433666,35286187,641.2,25,706.5,32,616.9,29,690.7,24
160003244311,35134806,717.1,34,634.8,23,620.1,24,786,29
160002952069,35286187,681.1,32,712.1,31,567.3,17,862.8,35
